clientSampleid,Sex,State,Site,Year,Age,Date_Laying,ID,Total_Offspring,Total Eggs,NestInit,H_inc,Hatch,H_brood,Brood_lived,Est_Poults,Attempt
47424-21-01-G,0,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
47424-21-01-H,0,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
47424-21-01-I,1,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
47424-21-01-J,1,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
47424-21-01-K,0,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
47488_21_01,,SC,SRS,2021,1,4/4/21,47488,0,6,1,1,0,,,,1
47410-21-01-A,0,SC,SRS,2021,,4/5/21,47410,9,,1,1,1,1,0,,1
47410-21-01-C,1,SC,SRS,2021,,4/5/21,47410,9,,1,1,1,1,0,,1
47410-21-01-D,0,SC,SRS,2021,,4/5/21,47410,9,,1,1,1,1,0,,1
47410-21-01-E,1,SC,SRS,2021,,4/5/21,47410,9,,1,1,1,1,0,,1
47410-21-01-F,0,SC,SRS,2021,,4/5/21,47410,9,,1,1,1,1,0,,1
47410-21-01-G,1,SC,SRS,2021,,4/5/21,47410,9,,1,1,1,1,0,,1
47410-21-01-H,0,SC,SRS,2021,,4/5/21,47410,9,,1,1,1,1,0,,1
47410-21-01-J,0,SC,SRS,2021,,4/5/21,47410,9,,1,1,1,1,0,,1
47465_21_01,,SC,SRS,2021,1,4/10/21,47465,0,11,1,1,0,,,,1
47395_21_01,,SC,SRS,2021,1,4/11/21,47395,0,10,1,1,0,,,,1
47491_21_01,,SC,SRS,2021,1,4/12/21,47491,0,10,1,1,0,,,,1
SRS-UNK01-21-01-B,1,SC,SRS,2021,1,4/14/21,SRS-UNK,12,,1,1,1,,,,1
SRS-UNK01-21-01-C,0,SC,SRS,2021,1,4/14/21,SRS-UNK,12,,1,1,1,,,,1
SRS-UNK01-21-01-E,1,SC,SRS,2021,1,4/14/21,SRS-UNK,12,,1,1,1,,,,1
SRS-UNK01-21-01-F,0,SC,SRS,2021,1,4/14/21,SRS-UNK,12,,1,1,1,,,,1
SRS-UNK01-21-01-G,0,SC,SRS,2021,1,4/14/21,SRS-UNK,12,,1,1,1,,,,1
SRS-UNK01-21-01-I,1,SC,SRS,2021,1,4/14/21,SRS-UNK,12,,1,1,1,,,,1
SRS-UNK01-21-01-K,1,SC,SRS,2021,1,4/14/21,SRS-UNK,12,,1,1,1,,,,1
SRS-UNK01-21-01-L,0,SC,SRS,2021,1,4/14/21,SRS-UNK,12,,1,1,1,,,,1
47390_21_01,,SC,SRS,2021,1,4/15/21,47390,0,6,1,1,0,,,,1
47419_21_01,,SC,SRS,2021,1,4/16/21,47419,0,8,1,1,0,,,,1
47388_21_01,,SC,SRS,2021,,4/18/21,47388,0,10,1,1,0,,,,1
47391_21_01,,SC,SRS,2021,,4/18/21,47391,0,7,1,1,0,,,,1
47446_21_01,,SC,SRS,2021,1,4/26/21,47446,0,,1,1,0,,,,1
47398_21_02,,SC,SRS,2021,1,4/29/21,47398,0,8,1,1,0,,,,2
47423_21_01,,SC,SRS,2021,1,5/1/21,47423,0,5,1,1,0,,,,1
47421_21_02,,SC,SRS,2021,1,5/2/21,47421,0,13,1,1,0,,,,2
47389_21_02,,SC,SRS,2021,1,5/3/21,47389,0,2,1,1,0,,,,2
47395_21_02,,SC,SRS,2021,1,5/6/21,47395,0,2,1,1,0,,,,2
47391_21_02,,SC,SRS,2021,,5/7/21,47391,0,3,1,1,0,,,,2
47494_21_01,,SC,SRS,2021,1,5/25/21,47494,0,6,1,1,0,,,,1
47423_21_02,,SC,SRS,2021,1,5/26/21,47423,0,8,1,1,0,,,,2
47395_21_03,,SC,SRS,2021,1,5/31/21,47395,0,6,1,1,0,,,,3
47398_21_03,,SC,SRS,2021,1,6/1/21,47398,0,9,1,1,0,,,,3
9493_22_01,,SC,SRS,2022,1,4/4/22,9493,0,9,1,1,0,,,,1
9493_22_02,,SC,SRS,2022,1,4/25/22,9493,0,,1,1,0,,,,2
9494_22_01,,SC,SRS,2022,1,4/21/22,9494,0,3,1,0,0,,,,1
9495_22_01_A,0,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_B,1,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_C,0,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_D,1,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_E,0,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_F,1,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_G,1,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_H,1,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_I,0,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_J,1,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_K,0,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_L,0,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9495_22_01_M,1,SC,SRS,2022,1,4/3/22,9495,13,,1,1,1,1,0,,1
9496_22_01,,SC,SRS,2022,0,,9496,0,,0,,,,,,1
9497_22_01_C,1,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9497_22_01_D,0,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9497_22_01_E,0,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9497_22_01_F,0,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9497_22_01_G,1,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9497_22_01_H,0,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9497_22_01_I,0,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9497_22_01_J,0,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9497_22_01_K,1,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9497_22_01_M,0,SC,SRS,2022,1,4/12/22,9497,11,13,1,1,1,1,0,,1
9498_22_01,,SC,SRS,2022,1,4/21/22,9498,0,3,1,1,0,,,,1
9498_22_02,,SC,SRS,2022,1,5/18/22,9498,0,4,1,1,0,,,,2
9499_22_01,,SC,SRS,2022,1,4/14/22,9499,0,11,1,1,0,,,,1
9499_22_02,,SC,SRS,2022,1,5/31/22,9499,0,7,1,1,0,,,,2
9501_22_01,,SC,SRS,2022,1,4/8/22,9501,0,13,1,1,0,,,,1
9501_22_02,,SC,SRS,2022,1,4/26/22,9501,0,11,1,1,0,,,,2
9501_22_03,,SC,SRS,2022,1,5/19/22,9501,0,10,1,1,0,,,,3
9502_22_01_C,1,SC,SRS,2022,1,4/21/22,9502,5,5,1,1,1,1,0,,1
9502_22_01_D,1,SC,SRS,2022,1,4/21/22,9502,5,5,1,1,1,1,0,,1
9502_22_01_E,0,SC,SRS,2022,1,4/21/22,9502,5,5,1,1,1,1,0,,1
9504_22_01_C,0,SC,SRS,2022,1,4/16/22,9504,9,11,1,1,1,1,0,,1
9504_22_01_F,0,SC,SRS,2022,1,4/16/22,9504,9,11,1,1,1,1,0,,1
9504_22_01_H,0,SC,SRS,2022,1,4/16/22,9504,9,11,1,1,1,1,0,,1
9504_22_01_I,0,SC,SRS,2022,1,4/16/22,9504,9,11,1,1,1,1,0,,1
9504_22_01_J,1,SC,SRS,2022,1,4/16/22,9504,9,11,1,1,1,1,0,,1
9505_22_01_A,0,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_B,0,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_D,0,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_E,1,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_F,1,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_G,0,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_H,1,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_I,0,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_J,0,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_K,1,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_L,1,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_M,1,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9505_22_01_N,1,SC,SRS,2022,1,4/16/22,9505,11,13,1,1,1,1,1,9,1
9506_22_01_C,0,SC,SRS,2022,1,4/6/22,9506,6,7,1,1,1,0,0,,1
9506_22_01_D,1,SC,SRS,2022,1,4/6/22,9506,6,7,1,1,1,0,0,,1
9506_22_01_E,0,SC,SRS,2022,1,4/6/22,9506,6,7,1,1,1,0,0,,1
9506_22_01_F,0,SC,SRS,2022,1,4/6/22,9506,6,7,1,1,1,0,0,,1
9506_22_01_G,1,SC,SRS,2022,1,4/6/22,9506,6,7,1,1,1,0,0,,1
9507_22_01,,SC,SRS,2022,1,5/6/22,9507,0,4,1,1,0,,,,1
9509_22_01,,SC,SRS,2022,0,,9509,0,,0,,,,,,1
9510_22_01_B,0,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_C,1,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_D,1,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_E,0,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_F,0,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_G,0,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_H,0,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_I,0,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_J,0,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_K,1,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_L,1,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_M,1,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9510_22_01_N,1,SC,SRS,2022,1,4/3/22,9510,9,10,1,1,1,1,1,4,1
9512_22_01_A,0,SC,SRS,2022,0,4/22/22,9512,2,2,1,1,1,1,0,,1
9512_22_01_B,0,SC,SRS,2022,0,4/22/22,9512,2,2,1,1,1,1,0,,1
10241_22_01,,SC,SRS,2022,1,4/2/22,10241,0,5,1,1,0,,,,1
10241_22_02,,SC,SRS,2022,1,5/16/22,10241,0,,1,1,0,,,,2
10242_22_01,,SC,SRS,2022,1,4/1/22,10242,0,8,1,1,0,,,,1
10242_22_02_B,0,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_C,0,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_D,0,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_E,1,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_F,0,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_G,1,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_H,0,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_I,0,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_J,1,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_K,0,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_M,0,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10242_22_02_N,0,SC,SRS,2022,1,4/14/22,10242,13,,1,1,1,1,0,,2
10245_22_01,,SC,SRS,2022,1,3/31/22,10245,0,6,1,1,0,,,,1
10248_22_01,,SC,SRS,2022,1,4/4/22,10248,0,6,1,0,,,,,1
10248_22_02_A,0,SC,SRS,2022,1,5/14/22,10248,9,,1,1,1,1,1,2,2
10248_22_02_B,0,SC,SRS,2022,1,5/14/22,10248,9,,1,1,1,1,1,2,2
10248_22_02_C,1,SC,SRS,2022,1,5/14/22,10248,9,,1,1,1,1,1,2,2
10248_22_02_D,0,SC,SRS,2022,1,5/14/22,10248,9,,1,1,1,1,1,2,2
10248_22_02_E,1,SC,SRS,2022,1,5/14/22,10248,9,,1,1,1,1,1,2,2
10248_22_02_F,0,SC,SRS,2022,1,5/14/22,10248,9,,1,1,1,1,1,2,2
10248_22_02_G,1,SC,SRS,2022,1,5/14/22,10248,9,,1,1,1,1,1,2,2
10248_22_02_H,1,SC,SRS,2022,1,5/14/22,10248,9,,1,1,1,1,1,2,2
10250_22_01,,SC,SRS,2022,1,3/29/22,10250,0,11,1,1,0,,,,1
10250_22_02,,SC,SRS,2022,1,4/28/22,10250,0,9,1,1,0,,,,2
10250_22_03,,SC,SRS,2022,1,5/28/22,10250,0,8,1,1,0,,,,3
10258_22_01,,SC,SRS,2022,0,,10258,0,,0,,,,,,1
10259_22_01_B,0,SC,SRS,2022,1,4/2/22,10259,6,7,1,1,1,0,0,,1
10259_22_01_C,0,SC,SRS,2022,1,4/2/22,10259,6,7,1,1,1,0,0,,1
10259_22_01_D,1,SC,SRS,2022,1,4/2/22,10259,6,7,1,1,1,0,0,,1
10259_22_01_E,1,SC,SRS,2022,1,4/2/22,10259,6,7,1,1,1,0,0,,1
10259_22_01_F,0,SC,SRS,2022,1,4/2/22,10259,6,7,1,1,1,0,0,,1
10259_22_01_G,1,SC,SRS,2022,1,4/2/22,10259,6,7,1,1,1,0,0,,1
10259_22_01_I,0,SC,SRS,2022,1,4/2/22,10259,6,7,1,1,1,0,0,,1
10261_22_01,,SC,SRS,2022,0,4/18/22,10261,0,9,1,1,0,,,,1
10264_22_01,,SC,SRS,2022,0,3/29/22,10264,0,,1,1,0,,,,1
10265_22_01,,SC,SRS,2022,1,4/11/22,10265,0,8,1,0,,,,,1
10265_22_02,,SC,SRS,2022,1,5/28/22,10265,0,5,1,0,,,,,2
10266_22_01,,SC,SRS,2022,1,,10266,0,,0,,,,,,1
10271_22_01,,SC,SRS,2022,1,3/27/22,10271,0,,1,1,0,,,,1
10272_22_01_B,1,SC,SRS,2022,0,4/4/22,10272,8,9,1,1,1,1,1,1,1
10272_22_01_C,1,SC,SRS,2022,0,4/4/22,10272,8,9,1,1,1,1,1,1,1
10272_22_01_D,1,SC,SRS,2022,0,4/4/22,10272,8,9,1,1,1,1,1,1,1
10272_22_01_E,1,SC,SRS,2022,0,4/4/22,10272,8,9,1,1,1,1,1,1,1
10272_22_01_F,1,SC,SRS,2022,0,4/4/22,10272,8,9,1,1,1,1,1,1,1
10272_22_01_G,0,SC,SRS,2022,0,4/4/22,10272,8,9,1,1,1,1,1,1,1
10272_22_01_H,0,SC,SRS,2022,0,4/4/22,10272,8,9,1,1,1,1,1,1,1
10275_22_01,,SC,SRS,2022,1,4/9/22,10275,0,7,1,1,0,,,,1
10275_22_02,,SC,SRS,2022,1,5/1/22,10275,0,6,1,1,0,,,,2
10276_22_01,,SC,SRS,2022,0,4/24/22,10276,0,11,1,1,0,,,,1
10277_22_01_B,0,SC,SRS,2022,1,3/31/22,10277,9,10,1,1,1,1,1,3,1
10277_22_01_C,1,SC,SRS,2022,1,3/31/22,10277,9,10,1,1,1,1,1,3,1
10277_22_01_D,0,SC,SRS,2022,1,3/31/22,10277,9,10,1,1,1,1,1,3,1
10277_22_01_E,0,SC,SRS,2022,1,3/31/22,10277,9,10,1,1,1,1,1,3,1
10277_22_01_F,0,SC,SRS,2022,1,3/31/22,10277,9,10,1,1,1,1,1,3,1
10277_22_01_G,0,SC,SRS,2022,1,3/31/22,10277,9,10,1,1,1,1,1,3,1
10277_22_01_H,1,SC,SRS,2022,1,3/31/22,10277,9,10,1,1,1,1,1,3,1
10277_22_01_I,0,SC,SRS,2022,1,3/31/22,10277,9,10,1,1,1,1,1,3,1
10277_22_01_J,0,SC,SRS,2022,1,3/31/22,10277,9,10,1,1,1,1,1,3,1
10281_22_01,,SC,SRS,2022,1,4/9/22,10281,0,,1,1,0,,,,1
10281_22_02,,SC,SRS,2022,1,5/19/22,10281,0,,1,1,0,,,,2
10282_22_01_B,1,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_C,1,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_D,1,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_E,1,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_F,1,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_G,1,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_H,1,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_I,1,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_J,0,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_K,1,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_L,0,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10282_22_01_M,0,SC,SRS,2022,1,4/5/22,10282,12,,1,1,1,1,0,,1
10283_22_01,,SC,SRS,2022,1,4/10/22,10283,0,,1,1,0,,,,1
10283_22_02,,SC,SRS,2022,1,5/14/22,10283,0,,1,1,0,,,,2
10284_22_01,,SC,SRS,2022,1,4/21/22,10284,0,12,1,1,0,,,,1
10289_22_01_A,1,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10289_22_01_B,0,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10289_22_01_C,1,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10289_22_01_D,1,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10289_22_01_E,0,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10289_22_01_F,1,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10289_22_01_G,1,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10289_22_01_H,0,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10289_22_01_I,1,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10289_22_01_J,1,SC,SRS,2022,1,4/14/22,10289,9,,1,1,1,0,0,,1
10290_22_01_A,0,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_B,1,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_C,1,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_D,0,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_E,1,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_F,1,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_G,1,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_H,1,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_I,1,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_J,0,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10290_22_01_N,0,SC,SRS,2022,1,4/7/22,10290,8,10,1,1,1,1,0,,1
10295_22_01,,SC,SRS,2022,0,5/1/22,10295,0,2,1,1,0,,,,1
10300_22_01,,SC,SRS,2022,1,4/24/22,10300,0,6,1,1,0,,,,1
10300_22_02_A,0,SC,SRS,2022,1,5/25/22,10300,10,11,1,1,1,1,1,2,2
10300_22_02_B,1,SC,SRS,2022,1,5/25/22,10300,10,11,1,1,1,1,1,2,2
10300_22_02_C,0,SC,SRS,2022,1,5/25/22,10300,10,11,1,1,1,1,1,2,2
10300_22_02_D,0,SC,SRS,2022,1,5/25/22,10300,10,11,1,1,1,1,1,2,2
10300_22_02_E,0,SC,SRS,2022,1,5/25/22,10300,10,11,1,1,1,1,1,2,2
10300_22_02_F,1,SC,SRS,2022,1,5/25/22,10300,10,11,1,1,1,1,1,2,2
10300_22_02_G,1,SC,SRS,2022,1,5/25/22,10300,10,11,1,1,1,1,1,2,2
10300_22_02_H,1,SC,SRS,2022,1,5/25/22,10300,10,11,1,1,1,1,1,2,2
